span_in,depth_in,width_in,fc_psi,ncell,k_spring_lbf_per_in,n_springs_full,n_springs_half,spring_nodes,spring_z_locs,near_count,far_count,full_defl_in,half_defl_in,full_defl_ratio,half_defl_ratio,half_minus_full_in,status,note
480,29,480,4000.0,6,1000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.0631,0.0744,0.105,0.124,0.0113,OK,PRELIMINARY-spring_overgrab
480,29,480,4000.0,6,5000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.041,0.0635,0.068,0.106,0.0226,OK,PRELIMINARY-spring_overgrab
480,29,480,4000.0,6,100000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.024,0.0508,0.04,0.085,0.0268,OK,PRELIMINARY-spring_overgrab
480,29,480,5000.0,6,1000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.0577,0.067,0.096,0.112,0.0094,OK,PRELIMINARY-spring_overgrab
480,29,480,5000.0,6,5000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.0379,0.0576,0.063,0.096,0.0197,OK,PRELIMINARY-spring_overgrab
480,29,480,5000.0,6,100000000.0,4,2,8248-8247-8270-8225,105.7-105.7-374.3-374.3,2,2,0.0216,0.0456,0.036,0.076,0.024,OK,PRELIMINARY-spring_overgrab
480,29,672,4000.0,8,1000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0677,0.0763,0.113,0.127,0.0087,OK,PRELIMINARY-spring_overgrab
480,29,672,4000.0,8,5000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0487,0.0674,0.081,0.112,0.0187,OK,PRELIMINARY-spring_overgrab
480,29,672,4000.0,8,100000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0315,0.0555,0.052,0.093,0.0241,OK,PRELIMINARY-spring_overgrab
480,29,672,5000.0,8,1000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0615,0.0686,0.102,0.114,0.0072,OK,PRELIMINARY-spring_overgrab
480,29,672,5000.0,8,5000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0447,0.0609,0.075,0.102,0.0162,OK,PRELIMINARY-spring_overgrab
480,29,672,5000.0,8,100000000.0,4,2,11326-11298-11290-11262,114.3-114.3-365.7-365.6,2,2,0.0283,0.0498,0.047,0.083,0.0215,OK,PRELIMINARY-spring_overgrab
480,36,480,4000.0,6,1000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0486,0.0546,0.081,0.091,0.006,OK,PRELIMINARY-spring_overgrab
480,36,480,4000.0,6,5000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0344,0.0486,0.057,0.081,0.0143,OK,PRELIMINARY-spring_overgrab
480,36,480,4000.0,6,100000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0206,0.0397,0.034,0.066,0.0191,OK,PRELIMINARY-spring_overgrab
480,36,480,5000.0,6,1000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0441,0.0491,0.074,0.082,0.005,OK,PRELIMINARY-spring_overgrab
480,36,480,5000.0,6,5000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0317,0.0439,0.053,0.073,0.0123,OK,PRELIMINARY-spring_overgrab
480,36,480,5000.0,6,100000000.0,4,2,8698-8697-8720-8675,105.7-105.7-374.3-374.3,2,2,0.0186,0.0356,0.031,0.059,0.0171,OK,PRELIMINARY-spring_overgrab
480,36,672,4000.0,8,1000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0512,0.0556,0.085,0.093,0.0045,OK,PRELIMINARY-spring_overgrab
480,36,672,4000.0,8,5000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0396,0.0509,0.066,0.085,0.0112,OK,PRELIMINARY-spring_overgrab
480,36,672,4000.0,8,100000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0262,0.0428,0.044,0.071,0.0166,OK,PRELIMINARY-spring_overgrab
480,36,672,5000.0,8,1000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0463,0.0499,0.077,0.083,0.0037,OK,PRELIMINARY-spring_overgrab
480,36,672,5000.0,8,5000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0362,0.0459,0.06,0.076,0.0096,OK,PRELIMINARY-spring_overgrab
480,36,672,5000.0,8,100000000.0,4,2,11928-11900-11892-11864,114.3-114.3-365.7-365.6,2,2,0.0236,0.0384,0.039,0.064,0.0148,OK,PRELIMINARY-spring_overgrab
480,43,480,4000.0,6,1000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0379,0.0412,0.063,0.069,0.0034,OK,PRELIMINARY-spring_overgrab
480,43,480,4000.0,6,5000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0289,0.0379,0.048,0.063,0.009,OK,PRELIMINARY-spring_overgrab
480,43,480,4000.0,6,100000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0187,0.032,0.031,0.053,0.0133,OK,PRELIMINARY-spring_overgrab
480,43,480,5000.0,6,1000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0343,0.037,0.057,0.062,0.0028,OK,PRELIMINARY-spring_overgrab
480,43,480,5000.0,6,5000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0265,0.0342,0.044,0.057,0.0077,OK,PRELIMINARY-spring_overgrab
480,43,480,5000.0,6,100000000.0,4,2,9214-9213-9236-9191,105.7-105.7-374.3-374.3,2,2,0.0168,0.0287,0.028,0.048,0.0119,OK,PRELIMINARY-spring_overgrab
480,43,672,4000.0,8,1000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0394,0.0418,0.066,0.07,0.0024,OK,PRELIMINARY-spring_overgrab
480,43,672,4000.0,8,5000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0325,0.0392,0.054,0.065,0.0068,OK,PRELIMINARY-spring_overgrab
480,43,672,4000.0,8,100000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0225,0.034,0.038,0.057,0.0115,OK,PRELIMINARY-spring_overgrab
480,43,672,5000.0,8,1000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0355,0.0374,0.059,0.062,0.0019,OK,PRELIMINARY-spring_overgrab
480,43,672,5000.0,8,5000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0296,0.0353,0.049,0.059,0.0057,OK,PRELIMINARY-spring_overgrab
480,43,672,5000.0,8,100000000.0,4,2,12614-12586-12578-12550,114.3-114.3-365.7-365.6,2,2,0.0203,0.0305,0.034,0.051,0.0102,OK,PRELIMINARY-spring_overgrab
600,36,480,4000.0,6,1000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0958,0.1209,0.128,0.161,0.0251,OK,PRELIMINARY-spring_overgrab
600,36,480,4000.0,6,5000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.057,0.0994,0.076,0.132,0.0423,OK,PRELIMINARY-spring_overgrab
600,36,480,4000.0,6,100000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0328,0.0791,0.044,0.105,0.0463,OK,PRELIMINARY-spring_overgrab
600,36,480,5000.0,6,1000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0881,0.1092,0.117,0.146,0.021,OK,PRELIMINARY-spring_overgrab
600,36,480,5000.0,6,5000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.053,0.0902,0.071,0.12,0.0373,OK,PRELIMINARY-spring_overgrab
600,36,480,5000.0,6,100000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0295,0.0709,0.039,0.095,0.0414,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,1000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.1099,0.1269,0.147,0.169,0.017,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,5000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0749,0.1105,0.1,0.147,0.0356,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,100000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0447,0.0896,0.06,0.12,0.045,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,1000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.1001,0.1142,0.133,0.152,0.0141,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,5000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0691,0.1001,0.092,0.133,0.0309,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,100000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0402,0.0804,0.054,0.107,0.0402,OK,PRELIMINARY-spring_overgrab
600,45,480,4000.0,6,1000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0728,0.0854,0.097,0.114,0.0126,OK,PRELIMINARY-spring_overgrab
600,45,480,4000.0,6,5000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0488,0.0745,0.065,0.099,0.0257,OK,PRELIMINARY-spring_overgrab
